ID,Nombre,Documento,Teléfono,Email,Apartamento,Valor Arriendo,Fecha de Ingreso,Estado de Pago,Dirección,Contacto Emergencia,Teléfono Emergencia
1,William Muñoz,12345678,+57 300 123 4567,william@email.com,101,1250000.0,20/05/2024,al_dia,,Pedro Pérez,+57 305 543 2109
2,María García,87654321,+57 301 234 5678,maria@email.com,102,1300000.0,15/02/2024,moroso,,Juan García,+57 302 876 5432
3,Carlos Rodríguez,11223344,+57 302 345 6789,carlos@email.com,103,1100000.0,10/03/2024,al_dia,,Ana Rodríguez,+57 303 765 4321
4,Lorena,99887766,+57 304 567 8901,inquilino@email.com,201,1400000.0,15/04/2024,al_dia,,Luis López,+57 304 654 3210
5,Orfa,44556677,+57 305 678 9012,orfa@gmail.com,106,1350000.0,15/06/2024,al_dia,,Sofía Herrera,+57 306 432 1098
6,Zuly Alvarez,33445566,+57 306 789 0123,zuly@gmail.com,201,1450000.0,01/07/2024,al_dia,,Roberto Silva,+57 307 321 0987
7,Patricia Gómez,11223399,+57 308 901 2345,patricia@email.com,203,1420000.0,25/09/2024,al_dia,,Fernando Gómez,+57 309 109 8765
8,Roberto Castro,99112233,+57 309 012 3456,roberto@email.com,301,1500000.0,10/10/2024,al_dia,,Isabel Castro,+57 310 098 7654
9,Valentina Torres,88991122,+57 310 123 4567,valentina@email.com,302,1480000.0,05/11/2024,al_dia,,Andrés Torres,+57 311 987 6543
10,Sebastián Ruiz,77889911,+57 311 234 5678,sebastian@email.com,303,1550000.0,20/12/2024,al_dia,,Carolina Ruiz,+57 312 876 5432
